Date : 2025-06-19 01:04:44
Directory : c:\laragon\www\commerce-app
Total : 181 files,  41820 codes, 1654 comments, 4237 blanks, all 47711 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        170 |     31,026 |      1,627 |      4,199 |     36,852 |
| JSON       |          3 |     10,698 |          0 |          3 |     10,701 |
| Markdown   |          1 |         45 |          0 |         22 |         67 |
| XML        |          1 |         30 |          2 |          1 |         33 |
| JavaScript |          4 |         20 |         23 |         11 |         54 |
| PostCSS    |          2 |          1 |          2 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        181 |     41,820 |      1,654 |      4,237 |     47,711 |
| . (Files)                                                                                                            |          6 |     10,783 |          2 |         28 |     10,813 |
| app                                                                                                                  |         49 |      3,193 |        264 |        768 |      4,225 |
| app\Console                                                                                                          |          1 |         15 |          7 |          6 |         28 |
| app\Exceptions                                                                                                       |          1 |         17 |          9 |          5 |         31 |
| app\Http                                                                                                             |         33 |      2,910 |        201 |        672 |      3,783 |
| app\Http (Files)                                                                                                     |          1 |         43 |         21 |          7 |         71 |
| app\Http\Controllers                                                                                                 |         21 |      2,720 |        121 |        610 |      3,451 |
| app\Http\Controllers (Files)                                                                                         |         17 |      2,558 |        117 |        564 |      3,239 |
| app\Http\Controllers\Auth                                                                                            |          3 |        134 |          4 |         35 |        173 |
| app\Http\Controllers\Vendor2                                                                                         |          1 |         28 |          0 |         11 |         39 |
| app\Http\Middleware                                                                                                  |         11 |        147 |         59 |         55 |        261 |
| app\Models                                                                                                           |          9 |        171 |          3 |         57 |        231 |
| app\Providers                                                                                                        |          5 |         80 |         44 |         28 |        152 |
| bootstrap                                                                                                            |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                               |         16 |        611 |        831 |        271 |      1,713 |
| database                                                                                                             |         32 |      1,154 |        137 |        148 |      1,439 |
| database\factories                                                                                                   |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                                  |         24 |        571 |        104 |        101 |        776 |
| database\seeders                                                                                                     |          7 |        558 |         19 |         41 |        618 |
| public                                                                                                               |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                            |         66 |     25,820 |        281 |      2,927 |     29,028 |
| resources\css                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                         |          2 |          4 |         23 |          8 |         35 |
| resources\views                                                                                                      |         63 |     25,816 |        258 |      2,918 |     28,992 |
| resources\views (Files)                                                                                              |         12 |      5,188 |         53 |        664 |      5,905 |
| resources\views\admin                                                                                                |         11 |      3,505 |         20 |        341 |      3,866 |
| resources\views\admin (Files)                                                                                        |          2 |        766 |          4 |         82 |        852 |
| resources\views\admin\admins                                                                                         |          3 |        664 |          3 |         42 |        709 |
| resources\views\admin\products                                                                                       |          2 |        899 |         10 |         93 |      1,002 |
| resources\views\admin\users                                                                                          |          3 |        758 |          2 |         75 |        835 |
| resources\views\admin\vendors                                                                                        |          1 |        418 |          1 |         49 |        468 |
| resources\views\auth                                                                                                 |         10 |      2,877 |         17 |        383 |      3,277 |
| resources\views\complaints                                                                                           |          2 |        725 |          1 |         88 |        814 |
| resources\views\components                                                                                           |          1 |        893 |         26 |        144 |      1,063 |
| resources\views\layouts                                                                                              |          1 |        871 |         12 |        120 |      1,003 |
| resources\views\vendor                                                                                               |          7 |      2,726 |         30 |        282 |      3,038 |
| resources\views\vendor (Files)                                                                                       |          4 |      2,235 |         30 |        215 |      2,480 |
| resources\views\vendor2                                                                                              |          9 |      4,678 |         50 |        444 |      5,172 |
| resources\views\vendor2 (Files)                                                                                      |          7 |      4,355 |         50 |        402 |      4,807 |
| resources\views\vendor2\products                                                                                     |          2 |        323 |          0 |         42 |        365 |
| resources\views\vendor3                                                                                              |         10 |      4,353 |         49 |        452 |      4,854 |
| resources\views\vendor3 (Files)                                                                                      |          7 |      3,790 |         45 |        381 |      4,216 |
| resources\views\vendor3\products                                                                                     |          3 |        563 |          4 |         71 |        638 |
| resources\views\vendor\products                                                                                      |          3 |        491 |          0 |         67 |        558 |
| routes                                                                                                               |          4 |        180 |         67 |         54 |        301 |
| tests                                                                                                                |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                        |          2 |         20 |          3 |         10 |         33 |
